epoch,train_loss,valid_loss,valid_auc,train_time,valid_time,mri_type
1,0.698069807483789,0.5864885685647406,0.5181818181818182,188,23,_FLAIR
2,0.6175050399172197,0.5878462667872266,0.509090909090909,218,23,_FLAIR
3,0.6176607914109478,0.586306400778817,0.5492424242424243,219,22,_FLAIR
4,0.6290171602997211,0.5939346086688158,0.4503787878787879,224,15,_FLAIR
5,0.5945113914184249,0.605427441073627,0.5477272727272727,234,15,_FLAIR
6,0.608624218413407,0.6019155357669039,0.5503787878787879,229,18,_FLAIR
7,0.6017129725637057,0.595896930592816,0.500378787878788,218,22,_FLAIR
8,0.642049799385603,0.6607182534729562,0.5053030303030303,213,22,_FLAIR
9,0.6359337992988959,0.5995451751642111,0.4287878787878788,211,22,_FLAIR
10,0.6216029699333582,0.5966964345879671,0.48712121212121207,208,22,_FLAIR
1,0.6717273150015315,0.6373931278542775,0.5265151515151515,218,22,_T1
2,0.6214652298422764,0.6030820539084877,0.4662878787878788,217,15,_T1
3,0.6267073937102196,0.5977470147900465,0.45,235,15,_T1
4,0.6234322613395682,0.5870542577127131,0.5492424242424243,215,21,_T1
5,0.6267191947235609,0.605505224771616,0.55,194,19,_T1
6,0.620696645446509,0.591359175923394,0.4375,193,14,_T1
7,0.6288604961668315,0.6082176284455671,0.5719696969696971,161,17,_T1
8,0.6296032544122924,0.5895455010780474,0.45984848484848484,211,14,_T1
9,0.6165199979273915,0.5930315935757102,0.43560606060606066,171,18,_T1
10,0.6260444137299097,0.5900414480668742,0.5249999999999999,200,14,_T1
1,0.6866148986172967,0.6347855333147979,0.4113636363636364,205,20,_T1c
2,0.638643645228596,0.6299347288724853,0.49772727272727274,208,22,_T1c
3,0.6317739083406029,0.5864993377429683,0.5628787878787879,214,23,_T1c
4,0.641750228616896,0.5914440831033195,0.5265151515151516,213,19,_T1c
5,0.6108537249791148,0.5905783405391182,0.6386363636363637,219,15,_T1c
6,0.6087719981276661,0.5978790219964051,0.5045454545454545,233,15,_T1c
7,0.6190371396253598,0.6531906578598953,0.49090909090909096,218,22,_T1c
8,0.6251825188551474,0.5969783798223589,0.615909090909091,177,22,_T1c
9,0.6067197646387491,0.5970959074613524,0.4734848484848484,208,23,_T1c
10,0.6242325256268183,0.5964922247136512,0.35909090909090907,222,15,_T1c
1,0.7022745675928549,0.5860867118690072,0.5712121212121212,236,15,_T2
2,0.6278512560810883,0.5898383416053725,0.4977272727272727,235,15,_T2
3,0.6197718012770381,0.6051076363499571,0.4363636363636364,205,16,_T2
4,0.6212833339650332,0.6089474228097171,0.4939393939393939,196,22,_T2
5,0.6237617382944907,0.6949345287753315,0.475,212,22,_T2
6,0.6107272144851335,0.5941139259716359,0.4242424242424242,223,14,_T2
7,0.6252465853723911,0.602614436571191,0.49166666666666664,177,22,_T2
8,0.6174852854432681,0.5920200725881065,0.48712121212121207,191,14,_T2
9,0.6368398097221275,0.5924081773292728,0.5041666666666667,152,18,_T2
10,0.6125430789197986,0.5996065376008429,0.5996212121212121,164,23,_T2
1,0.635711176754958,0.591287168060861,0.6810606060606061,866,89,all
2,0.6220629951458094,0.5862143312285586,0.4791666666666667,1013,108,all
3,0.6083604113771282,0.5875758957572099,0.5011363636363637,728,62,all
4,0.6119675241798072,0.6032553456905412,0.45719696969696966,689,62,all
5,0.61364612716965,0.5962950132968949,0.5325757575757576,689,62,all
6,0.6114609888113967,0.5887038126224424,0.5443181818181818,689,62,all
7,0.6145401358741139,0.588228224617679,0.5689393939393939,682,62,all
8,0.6013676229146643,0.5889511130205015,0.5708333333333333,677,62,all
9,0.6017854573438656,0.5874295983372665,0.3776515151515151,676,62,all
10,0.6092564320072121,0.591712037601122,0.5606060606060607,675,62,all
